sepID,eventTime,instruments,submissionTime,versionId,link,linkedEvents,sentNotifications
2023-07-18T01:00:00-SEP-001,2023-07-18T01:00Z,[{'displayName': 'MODEL: REleASE:ACE/EPAM 28.2-50.1 MeV'}],2023-07-18T00:39Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26056/-1,"[{'activityID': '2023-07-17T23:36:00-CME-001'}, {'activityID': '2023-07-17T23:18:00-FLR-001'}, {'activityID': '2023-07-17T23:37:00-FLR-001'}]","[{'messageID': '20230718-AL-004', 'messageIssueTime': '2023-07-18T00:29Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26058/1'}, {'messageID': '20230718-AL-005', 'messageIssueTime': '2023-07-18T00:42Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26061/1'}]"
2023-07-18T01:00:00-SEP-002,2023-07-18T01:00Z,[{'displayName': 'MODEL: REleASE:ACE/EPAM 15.8-39.8 MeV'}],2023-07-18T00:39Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26057/-1,"[{'activityID': '2023-07-17T23:36:00-CME-001'}, {'activityID': '2023-07-17T23:18:00-FLR-001'}, {'activityID': '2023-07-17T23:37:00-FLR-001'}]",
2023-07-18T01:06:00-SEP-001,2023-07-18T01:06Z,[{'displayName': 'MODEL: REleASE:SOHO/EPHIN 15.8-39.8 MeV'}],2023-07-18T00:38Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26059/-1,"[{'activityID': '2023-07-17T23:18:00-FLR-001'}, {'activityID': '2023-07-17T23:36:00-CME-001'}, {'activityID': '2023-07-17T23:37:00-FLR-001'}]",
2023-07-18T01:06:00-SEP-002,2023-07-18T01:06Z,[{'displayName': 'SOHO: COSTEP 15.8-39.8 MeV'}],2023-07-18T02:25Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26070/-1,"[{'activityID': '2023-07-17T23:18:00-FLR-001'}, {'activityID': '2023-07-17T23:36:00-CME-001'}, {'activityID': '2023-07-17T23:37:00-FLR-001'}]",
2023-07-18T01:09:00-SEP-001,2023-07-18T01:09Z,[{'displayName': 'MODEL: REleASE:SOHO/EPHIN 28.2-50.1 MeV'}],2023-07-18T00:39Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26060/-1,"[{'activityID': '2023-07-17T23:18:00-FLR-001'}, {'activityID': '2023-07-17T23:36:00-CME-001'}, {'activityID': '2023-07-17T23:37:00-FLR-001'}]",
2023-07-18T01:12:00-SEP-001,2023-07-18T01:12Z,[{'displayName': 'SOHO: COSTEP 28.2-50.1 MeV'}],2023-07-18T02:25Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26071/-1,"[{'activityID': '2023-07-17T23:18:00-FLR-001'}, {'activityID': '2023-07-17T23:36:00-CME-001'}, {'activityID': '2023-07-17T23:37:00-FLR-001'}]","[{'messageID': '20230718-AL-011', 'messageIssueTime': '2023-07-18T02:40Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26073/1'}]"
2023-07-18T01:15:00-SEP-001,2023-07-18T01:15Z,[{'displayName': 'GOES-P: SEISS >10 MeV'}],2023-07-18T01:29Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26065/-1,"[{'activityID': '2023-07-17T23:18:00-FLR-001'}, {'activityID': '2023-07-17T23:36:00-CME-001'}, {'activityID': '2023-07-17T23:37:00-FLR-001'}]","[{'messageID': '20230718-AL-008', 'messageIssueTime': '2023-07-18T01:29Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26066/1'}, {'messageID': '20230718-AL-009', 'messageIssueTime': '2023-07-18T01:34Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26067/1'}]"
2023-07-28T18:12:00-SEP-001,2023-07-28T18:12Z,[{'displayName': 'MODEL: REleASE:SOHO/EPHIN 15.8-39.8 MeV'}],2023-07-28T17:24Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26213/-1,"[{'activityID': '2023-07-28T15:39:00-FLR-001'}, {'activityID': '2023-07-28T15:53:00-CME-001'}]","[{'messageID': '20230728-AL-001', 'messageIssueTime': '2023-07-28T17:31Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/26216/1'}]"
2023-07-28T19:05:00-SEP-001,2023-07-28T19:05Z,[{'displayName': 'MODEL: REleASE:ACE/EPAM 15.8-39.8 MeV'}],2023-07-28T18:20Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26218/-1,"[{'activityID': '2023-07-28T15:39:00-FLR-001'}, {'activityID': '2023-07-28T15:53:00-CME-001'}]",
2023-07-28T19:19:00-SEP-001,2023-07-28T19:19Z,[{'displayName': 'SOHO: COSTEP 15.8-39.8 MeV'}],2023-07-28T19:27Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/SEP/26220/-1,"[{'activityID': '2023-07-28T15:39:00-FLR-001'}, {'activityID': '2023-07-28T15:53:00-CME-001'}]",
